100	61	62	66	68	71	75	80	83	87	93	98	103	109	117	123	130	139	145	155	164	179	185	197	208	220	233	
225	100	98	103	105	108	110	114	118	122	128	132	137	143	153	157	164	172	177	189	199	209	220	231	243	266	270	
400	162	152	159	159	161	162	165	168	171	176	182	188	191	198	205	213	220	223	237	247	258	268	279	293	315	331	
625	256	238	243	241	239	237	237	238	241	243	247	252	257	260	267	273	283	281	298	312	317	328	340	352	364	379	
900	388	355	359	382	342	335	331	331	328	328	331	335	338	344	344	350	359	355	376	385	394	406	414	428	450	454	
1225	563	513	513	493	475	464	456	450	441	438	437	437	439	441	446	449	456	440	466	475	484	495	503	514	528	557	
1600	779	711	709	679	651	630	613	598	584	577	568	567	561	562	563	563	567	545	586	583	593	600	610	624	648	661	
2025	1031	948	945	903	867	833	804	783	761	744	732	721	713	709	706	701	704	670	704	713	717	722	730	739	751	762	
2500	1327	1223	1215	1171	1126	1075	1034	1003	970	946	924	902	889	874	866	860	856	812	855	856	860	868	875	878	888	906	
3025	1641	1524	1519	1466	1415	1363	1311	1263	1222	1179	1147	1122	1096	1074	1059	1048	1039	981	1026	1026	1026	1024	1031	1034	1047	1068	
3600	2028	1862	1865	1795	1741	1743	1624	1570	1512	1463	1422	1383	1346	1318	1294	1273	1255	1180	1246	1239	1218	1222	1229	1235	1237	1241	
4225	2242	2120	2110	2045	1977	1932	1879	1836	1784	1739	1696	1656	1620	1592	1568	1545	1525	1432	1497	1544	1480	1486	1488	1498	1500	1495	
4900	2459	2314	2316	2254	2209	2171	2131	2089	2051	2012	1969	1940	1901	1866	1839	1815	1804	1685	1775	1754	1763	1758	1750	1753	1762	1764	
5625	2691	2516	2598	2480	2443	2432	2389	2352	2320	2285	2247	2209	2175	2145	2117	2095	2073	1941	2039	2025	2026	2009	2004	2021	2027	2030	
6400	2904	2743	2778	2729	2695	2661	2639	2619	2593	2571	2536	2506	2470	2447	2414	2393	2368	2222	2334	2346	2325	2313	2311	2310	2309	2304	
7225	3168	2991	3050	3008	2970	2948	2928	2908	2892	2885	2855	2821	2804	2775	2795	2887	2756	2537	2651	2631	2641	2601	2604	2595	2598	2612	
8100	3638	3420	3512	3429	3452	3416	3399	3399	3393	3396	3374	3318	3510	3351	3240	3187	3158	2970	3105	3054	3021	2958	2939	2938	2931	2990	
